# Object name	Positives	Negatives	Effects	Naming
Part_DAL_AR_Auto_Burst.Part_DAL_AR_Auto_Burst			Fire Mode Toggle Auto/Burst	
Part_DAL_AR_Auto_Single.Part_DAL_AR_Auto_Single			Fire Mode Toggle Auto/Single	
Part_DAL_AR_Burst_Single.Part_DAL_AR_Burst_Single			Fire Mode Toggle Burst/Single	
Part_DAL_AR_BOTD.Part_DAL_AR_BOTD				
Part_DAL_AR_Barrel_01.Part_DAL_AR_Barrel_01	-			Caracal
Part_DAL_AR_Barrel_01_A.Part_DAL_AR_Barrel_01_A	Recoil height -25%			
Part_DAL_AR_Barrel_01_B.Part_DAL_AR_Barrel_01_B	Dmg +10%			
Part_DAL_AR_Barrel_01_C.Part_DAL_AR_Barrel_01_C	Dmg +10%			
Part_DAL_AR_Barrel_02.Part_DAL_AR_Barrel_02	-			Jaguar
Part_DAL_AR_Barrel_02_A.Part_DAL_AR_Barrel_02_A	Acc -15%			
Part_DAL_AR_Barrel_02_B.Part_DAL_AR_Barrel_02_B	Acc -15%			
Part_DAL_AR_Barrel_02_C.Part_DAL_AR_Barrel_02_C	Fire Rate +10%			
Part_DAL_AR_Barrel_03.Part_DAL_AR_Barrel_03	-			Puma
Part_DAL_AR_Barrel_03_A.Part_DAL_AR_Barrel_03_A	Fire Rate +10%			
Part_DAL_AR_Barrel_03_B.Part_DAL_AR_Barrel_03_B	Fire Rate +10%			
Part_DAL_AR_Barrel_03_C.Part_DAL_AR_Barrel_03_C	Acc Bloom -25%			
Part_DAL_AR_Barrel_Barrage.Part_DAL_AR_Barrel_Barrage	Mag Size +10, Crit Dmg +15%, Recoil Width -75%, Acc Bloom -50%			
Part_DAL_AR_Barrel_ETech.Part_DAL_AR_Barrel_ETech	Mag Size +20%			Mngwa
Part_DAL_AR_Barrel_ETech_A.Part_DAL_AR_Barrel_ETech_A	Reload Time -10%			
Part_DAL_AR_Barrel_Earworm.Part_DAL_AR_Barrel_Earworm	Dmg +15%			
Part_DAL_AR_Barrel_Hail.Part_DAL_AR_Barrel_Hail	Crit Dmg +150%			
Part_DAL_AR_Barrel_Kaos.Part_DAL_AR_Barrel_Kaos	Dmg +15%	Acc +60%		
Part_DAL_AR_Barrel_StarHelix.Part_DAL_AR_Barrel_StarHelix		Dmg -15%		
Part_DAL_AR_Barrel_Warlord.Part_DAL_AR_Barrel_Warlord				
Part_DAL_AR_Barrel_ETech_Juju.Part_DAL_AR_Barrel_ETech_Juju	Fire Rate +1250%, Dmg +125%	Crit Dmg -50%		
Part_DAL_AR_Barrel_ETech_Juju_A.Part_DAL_AR_Barrel_ETech_Juju_A	Reload Time -10%			
Part_DAL_AR_Barrel_Digby.Part_DAL_AR_Barrel_Digby	Dmg +20%		Digby	
Part_DAL_AR_Body.Part_DAL_AR_Body	DO NOT REMOVE			
Part_DAL_AR_Body_A.Part_DAL_AR_Body_A	Recoil Width -25%			
Part_DAL_AR_Body_B.Part_DAL_AR_Body_B	Reload Time -10%			
Part_DAL_AR_Body_C.Part_DAL_AR_Body_C	Acc -15%			
Part_DAL_AR_Bolt_01.Part_DAL_AR_Bolt_01	Fire Rate +10%			
Part_DAL_AR_Bolt_02.Part_DAL_AR_Bolt_02	Acc -15%			
Part_DAL_AR_Ele_Corr.Part_DAL_AR_Ele_Corr				Venomous
Part_DAL_AR_Ele_Cryo.Part_DAL_AR_Ele_Cryo				Arctic
Part_DAL_AR_Ele_Fire.Part_DAL_AR_Ele_Fire				Searing
Part_DAL_AR_Ele_Radiation.Part_DAL_AR_Ele_Radiation				Decaying
Part_DAL_AR_Ele_Shock.Part_DAL_AR_Ele_Shock				Shocking
Part_DAL_AR_Foregrip_01.Part_DAL_AR_Foregrip_01	Recoil Height -30%, Reload Time -5%			
Part_DAL_AR_Foregrip_02.Part_DAL_AR_Foregrip_02	Weapon Sway -30%, Acc Bloom -30%			
Part_DAL_AR_Foregrip_03.Part_DAL_AR_Foregrip_03	Recoil Height -30%, Acc -10%			
Part_DAL_AR_Foregrip_04.Part_DAL_AR_Foregrip_04	Weapon Sway -30%, Acc Bloom -30%			
Part_DAL_AR_Foregrip_05.Part_DAL_AR_Foregrip_05	Recoil Width -15%, Dmg +5%			
Part_DAL_AR_Grip_01.Part_DAL_AR_Grip_01	Recoil Width -30%, Fire Rate +5%			
Part_DAL_AR_Grip_02.Part_DAL_AR_Grip_02	Weapon Sway -30%, Recoil Height -15%			
Part_DAL_AR_Grip_03.Part_DAL_AR_Grip_03	Reload Time -5%, Crit Dmg +10%			
Part_DAL_AR_Grip_04.Part_DAL_AR_Grip_04	Acc Bloom -20%, Dmg +5%			
Part_DAL_AR_Grip_05.Part_DAL_AR_Grip_05	Weapon Sway -30%, Mag Size +10%	Dmg -5%, Acc +10%		
Part_DAL_AR_Grip_06.Part_DAL_AR_Grip_06	Recoil Height -15%, Acc -20%			
Part_DAL_AR_Magazine_01.Part_DAL_AR_Magazine_01	24 Round, Dmg +10%			
Part_DAL_AR_Magazine_02.Part_DAL_AR_Magazine_02	32 Round			
Part_DAL_AR_Magazine_03.Part_DAL_AR_Magazine_03	45 Round	Dmg -10%		
Part_DAL_AR_Magazine_Warlord.Part_DAL_AR_Magazine_Warlord	45 Round			
Part_DAL_AR_Material_01_Common.Part_DAL_AR_Material_01_Common	Skin		Weapon Skin	
Part_DAL_AR_Material_02_Uncommon.Part_DAL_AR_Material_02_Uncommon	Skin		Weapon Skin	
Part_DAL_AR_Material_03_Rare.Part_DAL_AR_Material_03_Rare	Skin		Weapon Skin	
Part_DAL_AR_Material_04_VeryRare.Part_DAL_AR_Material_04_VeryRare	Skin		Weapon Skin	
Part_DAL_AR_Material_BOTD.Part_DAL_AR_Material_BOTD	Skin		Weapon Skin	
Part_DAL_AR_Material_Barrage.Part_DAL_AR_Material_Barrage	Skin		Weapon Skin	
Part_DAL_AR_Material_DigiClone.Part_DAL_AR_Material_DigiClone	Skin		Weapon Skin	
Part_DAL_AR_Material_Earworm.Part_DAL_AR_Material_Earworm	Skin		Weapon Skin	
Part_DAL_AR_Material_Gaige.Part_DAL_AR_Material_Gaige	Skin		Weapon Skin	
Part_DAL_AR_Material_Hail.Part_DAL_AR_Material_Hail	Skin		Weapon Skin	
Part_DAL_AR_Material_Kaos.Part_DAL_AR_Material_Kaos	Skin		Weapon Skin	
Part_DAL_AR_Material_StarHelix.Part_DAL_AR_Material_StarHelix	Skin		Weapon Skin	
Part_DAL_AR_Material_Warlord.Part_DAL_AR_Material_Warlord	Skin		Weapon Skin	
Part_DAL_AR_Material_Juju.Part_DAL_AR_Material_Juju	Skin		Weapon Skin - Juju	
Part_DAL_AR_Material_Digby.Part_DAL_AR_Material_Digby	Skin		Weapon Skin - Digby	
Part_DAL_AR_Rail_01.Part_DAL_AR_Rail_01				
Part_DAL_AR_Rail_02.Part_DAL_AR_Rail_02				
Part_DAL_AR_Rail_03.Part_DAL_AR_Rail_03				
Part_DAL_AR_Rail_04.Part_DAL_AR_Rail_04	Iron Sights			
Part_DAL_AR_Scope_01.Part_DAL_AR_Scope_01	2.2x,5x			
