# Artifact Main Ability	
Artifact_Part_Ability_AtomBalm.Artifact_Part_Ability_AtomBalm	Aura Damage +50%, Aura Burst Damage +18%, Aura Burst Radius +18% "Enhances the Radiation status effect aura, making it larget and more deadly"
Artifact_Part_Ability_BloodFrenzy.Artifact_Part_Ability_BloodFrenzy	Melee Enemies to Trigger Enrage, Sprint Speed +13%, Fire Rate +9%, Duration 10s "Enrage increases your Sprint Speed and Fire Rate"
Artifact_Part_Ability_CausticCoast.Artifact_Part_Ability_CausticCoast	Imbue Slide with Corrosive, Bonus Damage 50%, Shard Fire Rate 10.0/s "Slide kicks up Corrosive shards that explode on impact"
Artifact_Part_Ability_Cauterizer.Artifact_Part_Ability_Cauterizer	Imbue Slide with Incendiary, Bonus Damage 73%, Puddle Cooldown 10s "Slide deals bonus Incendiary Damage, creating a magma puddle upon impact"
Artifact_Part_Ability_CorrosiveStone.Artifact_Part_Ability_CorrosiveStone	Imbue Melee with Corrosive, Bonus Damage +80% "Adds Corrosive damage to all Melee attacks"
Artifact_Part_Ability_CryoStone.Artifact_Part_Ability_CryoStone	Imbue Melee with Cryo, Bonus Damage +80% "Adds Cryo damage to all Melee attacks"
Artifact_Part_Ability_ElectricSlide.Artifact_Part_Ability_ElectricSlide	Imbue Slide with Shock, Bonus Damage 73%, Arc Targets "Slide arcs beams of Shock to nearby enemies, which can arc to other nearby enemies"
Artifact_Part_Ability_ElementalOrigin.Artifact_Part_Ability_ElementalOrigin	Elemental Damage Boost, Damage Boost +183% "While suffering an elemental effect, increase your damage with that same element"
Artifact_Part_Ability_FastHands.Artifact_Part_Ability_FastHands	Melee Enemies to Steal Ammo, Ammo Refill +8%, Ammo Returned to Allies +8% "Dealing Melee damage replenishes ammo"
Artifact_Part_Ability_FireStone.Artifact_Part_Ability_FireStone	Imbue Melee with Incendiary, Bonus Damage +80% "Adds Incendiary damage to all Melee attacks"
Artifact_Part_Ability_FleshMelter.Artifact_Part_Ability_FleshMelter	Corrosive Damage Boost, Bonus Damage +25%, Max Stacks 5, Duration 8.8s "Killing an enemy with Corrosive increases your damage with Corrosive for a short duration"
Artifact_Part_Ability_Grave.Artifact_Part_Ability_Grave	Weakness is in the mind, Melee Damage +100%, Weapon Damage +20%, Splash Damage +15% "Increase Melee damage when below 50% HP, Increase Weapon damage when below 20% HP, Increase Splash Damage when below 5% HP"
Artifact_Part_Ability_HotDrop.Artifact_Part_Ability_HotDrop	Imbue Slam with Incendiary, Slam Bonus Damage 88%, Slam Radius +28%, Fireballs 5 "Slam launches Incendiary projectiles that spawn Magma Puddles"
Artifact_Part_Ability_IceSpiker.Artifact_Part_Ability_IceSpiker	Imbue Slam with Cryo, Slam Bonus Damage 88%, Slam Radius +28% "Fires 3 Cryo projectiles that damage and pass through enemies"
Artifact_Part_Ability_KnifeDrain.Artifact_Part_Ability_KnifeDrain	Imbue Melee with Lifesteal, Melee Lifesteal +75% "All Melee attacks return a portion of the damage dealt as Health"
Artifact_Part_Ability_LastStand.Artifact_Part_Ability_LastStand	Temporary Invulnerability, Duration 5s, Cooldown 40s "Temporary Invulnerability when Health drops below 50%"
Artifact_Part_Ability_LootExpander.Artifact_Part_Ability_LootExpander	Enhanced Pickups, Cash +119%, Ammo +25%, Health +43% "Increases the amount of cash, health and ammo you recieve from pickups"
