# Object name	Positives	Negatives	Effects	Naming
Part_HW_TOR_Barrel_01.Part_HW_TOR_Barrel_01	-			Hedgehog
Part_HW_TOR_Barrel_01_A.Part_HW_TOR_Barrel_01_A	Dmg +10%			
Part_HW_TOR_Barrel_01_AI_UseONLY.Part_HW_TOR_Barrel_01_AI_UseONLY	-			
Part_HW_TOR_Barrel_01_B.Part_HW_TOR_Barrel_01_B	Proj Speed +30%			
Part_HW_TOR_Barrel_01_C.Part_HW_TOR_Barrel_01_C	Dmg +10%			
Part_HW_TOR_Barrel_02.Part_HW_TOR_Barrel_02	Splash Dmg Radius +420			Threeway
Part_HW_TOR_Barrel_02_A.Part_HW_TOR_Barrel_02_A	Proj Speed +30%			
Part_HW_TOR_Barrel_02_AI_UseONLY.Part_HW_TOR_Barrel_02_AI_UseONLY	-			
Part_HW_TOR_Barrel_02_B.Part_HW_TOR_Barrel_02_B	Fire Rate +10%			
Part_HW_TOR_Barrel_02_C.Part_HW_TOR_Barrel_02_C	Splash Dmg Radius +20%			
Part_HW_TOR_Barrel_03.Part_HW_TOR_Barrel_03	Splash Dmg Radius +495			Quickie
Part_HW_TOR_Barrel_03_A.Part_HW_TOR_Barrel_03_A	Proj Speed +30%			
Part_HW_TOR_Barrel_03_AI_UseONLY.Part_HW_TOR_Barrel_03_AI_UseONLY	-			
Part_HW_TOR_Barrel_03_B.Part_HW_TOR_Barrel_03_B	Fire Rate +10%			
Part_HW_TOR_Barrel_03_C.Part_HW_TOR_Barrel_03_C	Fire Rate +10%			
Part_HW_TOR_Barrel_BurgerCannon.Part_HW_TOR_Barrel_BurgerCannon	Recoil Width -55%, Splash Dmg Radius +130, Mag Size +6, Recoil Height -55%	Acc +300%, Dmg -40%, Ele Chance -50%		
Part_HW_TOR_Barrel_ETech.Part_HW_TOR_Barrel_ETech	Splash Dmg Radius +300, Reload Time +25%			Lump
Part_HW_TOR_Barrel_ETech_A.Part_HW_TOR_Barrel_ETech_A	Ele Dmg +10%, Ele Chance +15%			
Part_HW_TOR_Barrel_Hive.Part_HW_TOR_Barrel_Hive	Splash Dmg Radius +300, Mag Size +3	Dmg -25%, Reload Time +45%		
Part_HW_TOR_Barrel_RYNO.Part_HW_TOR_Barrel_RYNO	Splash Dmg Radius +300	Dmg -20%, Acc +70%, Reload Time +40%		
Part_HW_TOR_Barrel_Rampager.Part_HW_TOR_Barrel_Rampager	Splash Dmg Radius +450, Mag Size +6	Dmg -20%, Acc +70%		
Part_HW_TOR_Barrel_Swarm.Part_HW_TOR_Barrel_Swarm	Splash Dmg Radius +200, Acc -30%			
Part_HW_TOR_Barrel_Tunguska.Part_HW_TOR_Barrel_Tunguska	Mag Size +2, Splash Dmg Radius +50, Acc -30%	Dmg -75%		
Part_HW_TOR_Body.Part_HW_TOR_Body	DO NOT REMOVE			
Part_HW_TOR_Body_A.Part_HW_TOR_Body_A	Proj Speed +30%			
Part_HW_TOR_Body_B.Part_HW_TOR_Body_B	Dmg +10%			
Part_HW_TOR_Ele_Corr.Part_HW_TOR_Ele_Corr				Oozing
Part_HW_TOR_Ele_Cryo.Part_HW_TOR_Ele_Cryo				Shrinking
Part_HW_TOR_Ele_Fire.Part_HW_TOR_Ele_Fire				Burning
Part_HW_TOR_Ele_Radiation.Part_HW_TOR_Ele_Radiation				Itchy
Part_HW_TOR_Ele_Shock.Part_HW_TOR_Ele_Shock				Stimulating
Part_HW_TOR_Grip_01.Part_HW_TOR_Grip_01	Reload Time -5%			
Part_HW_TOR_Grip_02.Part_HW_TOR_Grip_02	Fire Rate +5%			
Part_HW_TOR_Grip_03.Part_HW_TOR_Grip_03	Dmg +5%			
Part_HW_TOR_Mag_01.Part_HW_TOR_Mag_01	3 Round			
Part_HW_TOR_Mag_02.Part_HW_TOR_Mag_02	4 Round			
Part_HW_TOR_Mag_03.Part_HW_TOR_Mag_03	2 Round			
Part_HW_TOR_Material_01_Common.Part_HW_TOR_Material_01_Common	Skin		Weapon Skin	
Part_HW_TOR_Material_02_Uncommon.Part_HW_TOR_Material_02_Uncommon	Skin		Weapon Skin	
Part_HW_TOR_Material_03_Rare.Part_HW_TOR_Material_03_Rare	Skin		Weapon Skin	
Part_HW_TOR_Material_04_VeryRare.Part_HW_TOR_Material_04_VeryRare	Skin		Weapon Skin	
Part_HW_TOR_Material_BurgerCannon.Part_HW_TOR_Material_BurgerCannon	Skin		Weapon Skin	
Part_HW_TOR_Material_Hive.Part_HW_TOR_Material_Hive	Skin		Weapon Skin	
Part_HW_TOR_Material_Marcus.Part_HW_TOR_Material_Marcus	Skin		Weapon Skin	
Part_HW_TOR_Material_RYNO.Part_HW_TOR_Material_RYNO	Skin		Weapon Skin	
Part_HW_TOR_Material_Rampager.Part_HW_TOR_Material_Rampager	Skin		Weapon Skin	
Part_HW_TOR_Material_Swarm.Part_HW_TOR_Material_Swarm	Skin		Weapon Skin	
Part_HW_TOR_Material_Tunguska.Part_HW_TOR_Material_Tunguska	Skin		Weapon Skin	
Part_HW_TOR_Scope_01.Part_HW_TOR_Scope_01				
Part_HW_TOR_Scope_02.Part_HW_TOR_Scope_02				
Part_HW_TOR_Scope_03.Part_HW_TOR_Scope_03	1.5x			
Part_HW_TOR_Tail_01.Part_HW_TOR_Tail_01	Reload Time -5%			
Part_HW_TOR_Tail_01_A.Part_HW_TOR_Tail_01_A	Mag Size +1			
Part_HW_TOR_Tail_01_B.Part_HW_TOR_Tail_01_B	Mag Size +1			
Part_HW_TOR_Tail_02.Part_HW_TOR_Tail_02	Fire Rate +5%			
Part_HW_TOR_Tail_02_A.Part_HW_TOR_Tail_02_A	Ele Dmg +10%			
Part_HW_TOR_Tail_02_B.Part_HW_TOR_Tail_02_B	Splash Dmg Radius +20%			
Part_HW_TOR_Tail_03.Part_HW_TOR_Tail_03	Dmg +5%			
Part_HW_TOR_Tail_03_A.Part_HW_TOR_Tail_03_A	Proj per Shot +1	Acc +25%		
Part_HW_TOR_Tail_03_B.Part_HW_TOR_Tail_03_B	Dmg +5%			
# Naming strategy	Name	Priority		
# If MagSize is Greater Than 4	Stuffed	1001.0		
# If Shot Cost = 2	Double-Penetrating	1003.0		
