# Object name	Positives	Negatives	Effects	Naming
Part_PS_COV_Body_A.Part_PS_COV_Body_A				
Part_PS_COV_Body_B.Part_PS_COV_Body_B	Fire rate +10%			
Part_PS_COV_Body_C.Part_PS_COV_Body_C	Heat per shot -25%	Dmg -5%, Acc +10%		
Part_PS_COV_Barrel_Legion.Part_PS_COV_Barrel_Legion	-	Dmg -12%, Reload time +10%, Acc +300%		
Part_PS_COV_Barrel_01.Part_PS_COV_Barrel_01	-			Preecher
Part_PS_COV_Barrel_01_A.Part_PS_COV_Barrel_01_A	Acc bloom -30%, Melee dmg +40%		Melee Attachment	Pointy
Part_PS_COV_Barrel_01_B.Part_PS_COV_Barrel_01_B	Dmg +10%			
Part_PS_COV_Barrel_01_C.Part_PS_COV_Barrel_01_C	Fire Rate +10%			
Part_PS_COV_Barrel_02.Part_PS_COV_Barrel_02	-			Splainer
Part_PS_COV_Barrel_02_A.Part_PS_COV_Barrel_02_A	Dmg +10%			
Part_PS_COV_Barrel_02_B.Part_PS_COV_Barrel_02_B	Heat per shot -25%	Dmg -5%, Acc +10%		
Part_PS_COV_Barrel_02_C.Part_PS_COV_Barrel_02_C	Dmg +10%			
Part_PS_COV_Barrel_03.Part_PS_COV_Barrel_03	-			Holey-Man
Part_PS_COV_Barrel_03_A.Part_PS_COV_Barrel_03_A	Fire Rate +10%			
Part_PS_COV_Barrel_03_B.Part_PS_COV_Barrel_03_B	Fire Rate +10%			
Part_PS_COV_Barrel_03_C.Part_PS_COV_Barrel_03_C	Heat per shot -25%, Charge duration -20%			
Part_PS_COV_Barrel_Chad.Part_PS_COV_Barrel_Chad	-	Dmg -30%, Acc Bloom +100%, Acc +50%		
Part_PS_COV_Barrel_Contagion.Part_PS_COV_Barrel_Contagion	Dmg -10%, Reload +50%	Acc +20%		
Part_PS_COV_Barrel_ETech.Part_PS_COV_Barrel_ETech	-	Heat per shot +100%, Proj Speed -50%		Blastphemy
Part_PS_COV_Barrel_ETech_A.Part_PS_COV_Barrel_ETech_A	Ele Dmg +10%, Heat per Shot -25%, Melee Dmg +60%			
Part_PS_COV_Barrel_Mouthpiece.Part_PS_COV_Barrel_Mouthpiece	Acc. Bloom -50%, Dmg +40%	Acc +20%, Heat per Shot +100%		
Part_PS_COV_Barrel_PsychoStabber.Part_PS_COV_Barrel_PsychoStabber	Dmg +25%			
