# Object name	Positives	Negatives	Effects	Naming
Part_SG_Torgue_Barrel_01.Part_SG_Torgue_Barrel_01	-			Balogna Poney
Part_SG_Torgue_Barrel_01_A.Part_SG_Torgue_Barrel_01_A	Fire Rate +10%			
Part_SG_Torgue_Barrel_01_B.Part_SG_Torgue_Barrel_01_B	Splash Dmg Radius +20%			
Part_SG_Torgue_Barrel_01_C.Part_SG_Torgue_Barrel_01_C	Splash Dmg Radius +20%			
Part_SG_Torgue_Barrel_02.Part_SG_Torgue_Barrel_02	-			Bangstick
Part_SG_Torgue_Barrel_02_A.Part_SG_Torgue_Barrel_02_A	Proj per Shot +35%	Acc Bloom +15%, Acc +10%, Dmg -5%		
Part_SG_Torgue_Barrel_02_B.Part_SG_Torgue_Barrel_02_B	Dmg +10%			
Part_SG_Torgue_Barrel_02_C.Part_SG_Torgue_Barrel_02_C	Dmg +10%			
Part_SG_Torgue_Barrel_03.Part_SG_Torgue_Barrel_03	-			Kielbasa
Part_SG_Torgue_Barrel_03_A.Part_SG_Torgue_Barrel_03_A	Proj Speed +30%			
Part_SG_Torgue_Barrel_03_B.Part_SG_Torgue_Barrel_03_B	Proj Speed +30%			
Part_SG_Torgue_Barrel_03_C.Part_SG_Torgue_Barrel_03_C	Acc -7.5%			
Part_SG_Torgue_Barrel_Balrog.Part_SG_Torgue_Barrel_Balrog	Splash Dmg Radius +275, Dmg +40%			
Part_SG_Torgue_Barrel_Brewha.Part_SG_Torgue_Barrel_Brewha	Splash Dmg Radius +300, Dmg +180%, Mag Size +8			
Part_SG_Torgue_Barrel_ETech.Part_SG_Torgue_Barrel_ETech	Mag Size +5			Protuberance
Part_SG_Torgue_Barrel_ETech_A.Part_SG_Torgue_Barrel_ETech_A	Splash Dmg Radius +20%, Reload Time -10%			
Part_SG_Torgue_Barrel_ETech_TheLob.Part_SG_Torgue_Barrel_ETech_TheLob	Dmg -80%			
Part_SG_Torgue_Barrel_Flakker.Part_SG_Torgue_Barrel_Flakker	Splash Dmg Radius +175, Dmg +200%	Acc +100%		
Part_SG_Torgue_Barrel_Redline.Part_SG_Torgue_Barrel_Redline	Recoil Height -50%	Acc +65%		
Part_SG_Torgue_Barrel_Thumper.Part_SG_Torgue_Barrel_Thumper	Mag Size +4	Acc +200%		
Part_SG_TOR_Barrel_Boring.Part_SG_TOR_Barrel_Boring				
Part_SG_Torgue_TiggsBoom.Part_SG_Torgue_TiggsBoom	Splash Dmg Radius +50	Dmg -25%, Acc +75%		
Part_SG_Torgue_Body.Part_SG_Torgue_Body	DO NOT REMOVE			
Part_SG_Torgue_Body_A.Part_SG_Torgue_Body_A	Proj per Shot +35%	Acc Bloom +15%, Acc +10%, Dmg -5%		
Part_SG_Torgue_Body_B.Part_SG_Torgue_Body_B	Dmg +10%			
Part_SG_Torgue_Ele_Corr.Part_SG_Torgue_Ele_Corr				Oozing
Part_SG_Torgue_Ele_Cryo.Part_SG_Torgue_Ele_Cryo				Shrinking
Part_SG_Torgue_Ele_Fire.Part_SG_Torgue_Ele_Fire				Burning
