# Body		
Shield_Part_Body_01_Anshin.Shield_Part_Body_01_Anshin		
Shield_Part_Body_02_Pangolin.Shield_Part_Body_02_Pangolin		
Shield_Part_Body_03_Hyperion.Shield_Part_Body_03_Hyperion		
# Rarity		
Shield_Part_Rarity_Anshin_01_Common.Shield_Part_Rarity_Anshin_01_Common		
Shield_Part_Rarity_Anshin_02_Uncommon.Shield_Part_Rarity_Anshin_02_Uncommon		
Shield_Part_Rarity_Anshin_03_Rare.Shield_Part_Rarity_Anshin_03_Rare		
Shield_Part_Rarity_Anshin_04_VeryRare.Shield_Part_Rarity_Anshin_04_VeryRare		
Shield_Part_Rarity_Anshin_05_Legendary.Shield_Part_Rarity_Anshin_05_Legendary		
Shield_Part_Rarity_Hyperion_01_Common.Shield_Part_Rarity_Hyperion_01_Common		
Shield_Part_Rarity_Hyperion_02_Uncommon.Shield_Part_Rarity_Hyperion_02_Uncommon		
Shield_Part_Rarity_Hyperion_03_Rare.Shield_Part_Rarity_Hyperion_03_Rare		
Shield_Part_Rarity_Hyperion_04_VeryRare.Shield_Part_Rarity_Hyperion_04_VeryRare		
Shield_Part_Rarity_Hyperion_05_Legendary.Shield_Part_Rarity_Hyperion_05_Legendary		
Shield_Part_Rarity_Pangolin_01_Common.Shield_Part_Rarity_Pangolin_01_Common		
Shield_Part_Rarity_Pangolin_02_Uncommon.Shield_Part_Rarity_Pangolin_02_Uncommon		
Shield_Part_Rarity_Pangolin_03_Rare.Shield_Part_Rarity_Pangolin_03_Rare		
Shield_Part_Rarity_Pangolin_04_VeryRare.Shield_Part_Rarity_Pangolin_04_VeryRare		
Shield_Part_Rarity_Pangolin_05_Legendary.Shield_Part_Rarity_Pangolin_05_Legendary		
### Main perk (these parts should have a matching material.		
## Legendary		
# Anshin		
Part_Shield_Aug_ANS__LGD_Aurelia.Part_Shield_Aug_ANS__LGD_Aurelia	When depleted, releases a large Cryo nova dealing 11154 damage and freezing enemies. 30% of Nova damage is returned as health	Boss: Aurelia
Part_Shield_Aug_BackHam.Part_Shield_Aug_BackHam	Damage taken from behind is reduced by 56%	
Part_Shield_Aug_ANS_LGD_Breakup.Part_Shield_Aug_ANS_LGD_Breakup	You are accompanied by a small drone that will fire at enemies, dealing damage per shot. When your shield breaks, a temporary drone will come to your aid.	
Part_Shield_Aug_ANS_LGD_NovaBurner.Part_Shield_Aug_ANS_LGD_NovaBurner	22,307 Incendiary Damage on shield break and fill	
Part_Shield_Aug_ANS_LGD_ReRouter.Part_Shield_Aug_ANS_LGD_ReRouter	When fully charged, the next shot Drain 50% shield to deal 120% bonus Amp Damage and return it as health	
Part_Shield_ANS_Aug_LGD_RoughRider.Part_Shield_ANS_Aug_LGD_RoughRider	Reduces incoming damage by 23% and grants +35% Max health	
Part_Shield_Aug_ANS_LGD_SlideKick.Part_Shield_Aug_ANS_LGD_SlideKick	Sliding into enemies drains all shields and deals up to 5205 bonus damage based on current shield strength	
Part_Shield_Aug_ANS_LGD_WTF.Part_Shield_Aug_ANS_LGD_WTF	25% Chance to drop IEDs when damaged that deal 3718 damage	
Part_Shield_Aug_ScreamOfTerror.Part_Shield_Aug_ScreamOfTerror	14872 nova damage on shield break	
Part_Shield_Aug_ANS_LGD_VersionOmNom.Part_Shield_Aug_ANS_LGD_VersionOmNom		
Part_Shield_Aug_SlideKick_FrozenHeart.Part_Shield_Aug_SlideKick_FrozenHeart		
# Hyperian		
Part_Shield_Aug_HYP_LGD_FrontLoader.Part_Shield_Aug_HYP_LGD_FrontLoader	Reserves 60% of your Max Health and returns it as Shield Cpaacity.	
Part_Shield_Aug_HYP_LGD_ReCharger.Part_Shield_Aug_HYP_LGD_ReCharger	Instantly begins recharging when borken. Cooldown: 20s	
Part_Shield_Aug_HYP_LGD_Rectifier1.Part_Shield_Aug_HYP_LGD_Rectifier1	While depleted, electrocutes nearby enemies dealing 279 Shock Damage per second	
Part_Shield_Aug_HYP_LGD_StopGap.Part_Shield_Aug_HYP_LGD_StopGap	On Shield Break, become immune to any damage taken for 5 seconds.	
Shield_Part_Aug_HYP_LGD_Transformer.Shield_Part_Aug_HYP_LGD_Transformer	Converts 100% of Shock Damage into shields. 40% Chance to absorb bullets, adding them to your ammo count.	
Part_Shield_Aug_Ward.Part_Shield_Aug_Ward	+25% Weapon Dmaage while shield is depleted. +2% Max Health per second while shields are active. This effect doubles while shields are depleted.	Boss: Graveward
# Pangolin		
Part_Shield_Aug_PAN_LGD_BigBoomBlaster.Part_Shield_Aug_PAN_LGD_BigBoomBlaster	Has a 60% chance to drop a booster that restores 60% shields, a grenade, and Heavy ammo	
Part_Shield_Aug_PAN_LGD_BlackHole.Part_Shield_Aug_PAN_LGD_BlackHole	Suck enemies towards you on shield break	
Part_Shield_Aug_PAN_Cyttorak.Part_Shield_Aug_PAN_Cyttorak	+22% Weapon Damage while shield is depleted. +25% Max Health	
