# Object name	Positives	Negatives	Effects	Naming
Part_SM_HYP_Barrel_01.Part_SM_HYP_Barrel_01	-			
Part_SM_HYP_Barrel_01_A.Part_SM_HYP_Barrel_01_A	Dmg +10%			
Part_SM_HYP_Barrel_01_B.Part_SM_HYP_Barrel_01_B	Acc -15%			
Part_SM_HYP_Barrel_01_C.Part_SM_HYP_Barrel_01_C	Dmg +10%			
Part_SM_HYP_Barrel_02.Part_SM_HYP_Barrel_02	-			Powerplay
Part_SM_HYP_Barrel_02_A.Part_SM_HYP_Barrel_02_A	Acc -15%			
Part_SM_HYP_Barrel_02_B.Part_SM_HYP_Barrel_02_B	Crit Dmg +10%			
Part_SM_HYP_Barrel_02_C.Part_SM_HYP_Barrel_02_C	Acc -15%			
Part_SM_HYP_Barrel_03.Part_SM_HYP_Barrel_03	-			Boardroom
Part_SM_HYP_Barrel_03_A.Part_SM_HYP_Barrel_03_A	Fire Rate +10%, Melee Dmg +60%			Bleeding Edge
Part_SM_HYP_Barrel_03_B.Part_SM_HYP_Barrel_03_B	Fire Rate +10%			
Part_SM_HYP_Barrel_03_C.Part_SM_HYP_Barrel_03_C	Acc -15%			
Part_SM_HYP_Barrel_Bitch.Part_SM_HYP_Barrel_Bitch	Crit Dmg +50%, Mag Size +5, Melee Dmg +60%	Dmg -35%, Acc Bloom +150%,	Melee Attachment	
Part_SM_HYP_Barrel_Crossroad.Part_SM_HYP_Barrel_Crossroad	Proj per Shot +4	Acc Bloom +15%, Acc +70%, Dmg -20%		
Part_SM_HYP_Barrel_ETech.Part_SM_HYP_Barrel_ETech	Mag Size +25%			Hivemind
Part_SM_HYP_Barrel_ETech_A.Part_SM_HYP_Barrel_ETech_A	Weapon Shield Cap +25%, Proj Speed +30%			
Part_SM_HYP_Barrel_Fork.Part_SM_HYP_Barrel_Fork	Dmg -20%			
Part_SM_HYP_Barrel_Handsome.Part_SM_HYP_Barrel_Handsome	Reload Time -50%	Acc +100%		
Part_SM_HYP_Barrel_L0V3M4CH1N3.Part_SM_HYP_Barrel_L0V3M4CH1N3	Recoil Height -75%, Dmg +25%, Mag Size +25%			
Part_SM_HYP_Barrel_PredatoryLending.Part_SM_HYP_Barrel_PredatoryLending		Dmg -20%, Acc +50%		
