# Object name	Positives	Negatives	Effects	Naming
Part_MAL_SR_Barrel_01.Part_MAL_SR_Barrel_01	-			Multiplex
Part_MAL_SR_Barrel_01_A.Part_MAL_SR_Barrel_01_A	Fire Rate +10%			
Part_MAL_SR_Barrel_01_B.Part_MAL_SR_Barrel_01_B	Fire Rate +10%			
Part_MAL_SR_Barrel_01_C.Part_MAL_SR_Barrel_01_C	Charge Duration -20%, Melee Dmg +80%			
Part_MAL_SR_Barrel_02.Part_MAL_SR_Barrel_02	-			Particle Rifle
Part_MAL_SR_Barrel_02_A.Part_MAL_SR_Barrel_02_A	Dmg +10%			
Part_MAL_SR_Barrel_02_B.Part_MAL_SR_Barrel_02_B	Dmg +10%			
Part_MAL_SR_Barrel_02_C.Part_MAL_SR_Barrel_02_C	Charge Duration -20%			
Part_MAL_SR_Barrel_03.Part_MAL_SR_Barrel_03	Splash Dmg Radius +80			Proton Rifle
Part_MAL_SR_Barrel_03_A.Part_MAL_SR_Barrel_03_A	Ele Dmg +10%			
Part_MAL_SR_Barrel_03_B.Part_MAL_SR_Barrel_03_B	Ele Chance +15%			
Part_MAL_SR_Barrel_03_C.Part_MAL_SR_Barrel_03_C	Ele Dmg +10%			
Part_MAL_SR_Barrel_ASMD.Part_MAL_SR_Barrel_ASMD	Acc -75%, Splash Dmg Radius +80	Dmg -30%		
Part_MAL_SR_Barrel_ETech.Part_MAL_SR_Barrel_ETech	Mag Size +8			Antimatter Rifle
Part_MAL_SR_Barrel_ETech_A.Part_MAL_SR_Barrel_ETech_A	Fire Rate +10%, Mag Size +10%			
Part_MAL_SR_Barrel_FireStorm.Part_MAL_SR_Barrel_FireStorm	Splash Dmg Radius +300	Dmg -30%		
Part_MAL_SR_Barrel_Krakatoa.Part_MAL_SR_Barrel_Krakatoa		Ele Chance -100%		
Part_MAL_SR_Barrel_Soleki.Part_MAL_SR_Barrel_Soleki	Ele Chance +25%	Dmg -25%		
Part_MAL_SR_Barrel_Storm.Part_MAL_SR_Barrel_Storm	Splash Dmg Radius +300, Dmg -30%			
Part_MAL_SR_Body.Part_MAL_SR_Body	DO NOT REMOVE			
Part_MAL_SR_Body_A.Part_MAL_SR_Body_A	Dmg +10%			
Part_MAL_SR_Body_B.Part_MAL_SR_Body_B	Reload Time -10%			
Part_MAL_SR_Body_C.Part_MAL_SR_Body_C	Ele Dmg +10%			
Part_MAL_SR_Ele_Primary_Corr.Part_MAL_SR_Ele_Primary_Corr				
Part_MAL_SR_Ele_Primary_Cryo.Part_MAL_SR_Ele_Primary_Cryo				
