# Object name	Positives	Negatives	Effects	Naming
Part_SM_DAL_Auto_Burst.Part_SM_DAL_Auto_Burst			Fire Mode Toggle Auto/Burst	
Part_SM_DAL_Auto_Single.Part_SM_DAL_Auto_Single			Fire Mode Toggle Auto/Single	
Part_SM_DAL_Burst_Single.Part_SM_DAL_Burst_Single			Fire Mode Toggle Burst/Single	
Part_SM_DAL_Barrel_01.Part_SM_DAL_Barrel_01	-			Jackal
Part_SM_DAL_Barrel_01_A.Part_SM_DAL_Barrel_01_A	Fire Rate +10%			
Part_SM_DAL_Barrel_01_B.Part_SM_DAL_Barrel_01_B	Acc Bloom -25%, Melee Dmg +40%			Bladed
Part_SM_DAL_Barrel_01_C.Part_SM_DAL_Barrel_01_C	Fire Rate +10%			
Part_SM_DAL_Barrel_02.Part_SM_DAL_Barrel_02	-			Hyena
Part_SM_DAL_Barrel_02_A.Part_SM_DAL_Barrel_02_A	Acc Bloom -25%			
Part_SM_DAL_Barrel_02_B.Part_SM_DAL_Barrel_02_B	Fire Rate +10%			
Part_SM_DAL_Barrel_02_C.Part_SM_DAL_Barrel_02_C	Acc -5%, Fire Rate +5%, Recoil Height -25%, Dmg +5%			
Part_SM_DAL_Barrel_03.Part_SM_DAL_Barrel_03	-			Wolfhound
Part_SM_DAL_Barrel_03_A.Part_SM_DAL_Barrel_03_A	Acc -15%			
Part_SM_DAL_Barrel_03_B.Part_SM_DAL_Barrel_03_B	Acc -15%			
Part_SM_DAL_Barrel_03_C.Part_SM_DAL_Barrel_03_C	Dmg +10%			
Part_SM_DAL_Barrel_Demoskag.Part_SM_DAL_Barrel_Demoskag	Night Hawk			
Part_SM_DAL_Barrel_ETech.Part_SM_DAL_Barrel_ETech	Mag Size +20%			Cadejo
Part_SM_DAL_Barrel_ETech_A.Part_SM_DAL_Barrel_ETech_A	Proj Speed +30%, Reload Time -10%			
Part_SM_DAL_Barrel_HellFire.Part_SM_DAL_Barrel_HellFire	Splash Dmg Radius +60, Ele Chance +200%, Ele Dmg +150%	Dmg -35%		
Part_SM_DAL_Barrel_JabberWeaponGunslinger.Part_SM_DAL_Barrel_JabberWeaponGunslinger		Dmg -50%		
Part_SM_DAL_Barrel_NineVolt.Part_SM_DAL_Barrel_NineVolt	Recoil Height -75%, Re coild Width -75%, Ele Chance +150%	Acc +70%, Dmg -37.5%		
Part_SM_DAL_Barrel_Ripper.Part_SM_DAL_Barrel_Ripper		Dmg -25%, Acc Bloom +35%		
Part_SM_DAL_Barrel_RockNRoll.Part_SM_DAL_Barrel_RockNRoll	Weapon Sway -75%, Dmg +75%, Recoil Width -50%, Crit Dmg +200%, Mag Size +10, Reload Time -50%, Recoil Height -50%			
Part_SM_DAL_Barrel_SleepingGiant.Part_SM_DAL_Barrel_SleepingGiant	Dmg +10%			
Part_SM_DAL_Barrel_Vanquisher.Part_SM_DAL_Barrel_Vanquisher				
Part_SM_DAL_Barrel_CraderMP5.Part_SM_DAL_Barrel_CraderMP5				
Part_SM_DAL_Body.Part_SM_DAL_Body	DO NOT REMOVE			
Part_SM_DAL_Body_A.Part_SM_DAL_Body_A	Acc Bloom -25%			
Part_SM_DAL_Body_B.Part_SM_DAL_Body_B	Reload Time -10%			
Part_SM_DAL_Body_C.Part_SM_DAL_Body_C	Acc -15%			
Part_SM_DAL_Bolt_01.Part_SM_DAL_Bolt_01	Dmg +5%			
Part_SM_DAL_Bolt_02.Part_SM_DAL_Bolt_02	Fire Rate +5%			
Part_SM_DAL_Ele_Corr.Part_SM_DAL_Ele_Corr				Venomous
Part_SM_DAL_Ele_Cryo.Part_SM_DAL_Ele_Cryo				Arctic
Part_SM_DAL_Ele_Fire.Part_SM_DAL_Ele_Fire				Searing
Part_SM_DAL_Ele_Radiation.Part_SM_DAL_Ele_Radiation				Decaying
Part_SM_DAL_Ele_Shock.Part_SM_DAL_Ele_Shock				Shocking
Part_SM_DAL_EndGame_Test.Part_SM_DAL_EndGame_Test				
